id,familyId,barcode,barcodeType,barcodeSource,barcodeStatus,confidence,name,brand,category,unit,packSize,price,stock,isBulk
24,FAM-0023,PRD-000012,CODE128,Internal,INTERNAL,Low,KissKids Baby Diapers Size 3 (Roll),KissKids,Baby,Piece,1,1800.00,100,false
25,FAM-0024,PRD-000013,CODE128,Internal,INTERNAL,Low,KissKids Baby Diapers Size 4 (Roll),KissKids,Baby,Piece,1,1800.00,100,false
26,FAM-0025,PRD-000014,CODE128,Internal,INTERNAL,Low,Softcare Baby Diapers (Roll),Softcare,Baby,Piece,1,1800.00,100,false
27,FAM-0026,CTN-000011,CODE128,Internal,INTERNAL,Low,TomaGood Tomato Mix 70g x 50 (Carton),TomaGood,Pantry,Carton,70,17500.00,30,true
28,FAM-0027,CTN-000012,CODE128,Internal,INTERNAL,Low,TomaGood Tomato Mix 210g x 48 (Carton),TomaGood,Pantry,Carton,210,31500.00,20,true
29,FAM-0028,CTN-000013,CODE128,Internal,INTERNAL,Low,Jumbo Chicken Flavour (Carton),Jumbo,Spices,Carton,24,17800.00,35,true
30,FAM-0029,PRD-000015,CODE128,Internal,INTERNAL,Low,Sweet Favourite Plantain Chips (Piece),Sweet Favourite,Snacks,Piece,1,200.00,250,false
31,FAM-0030,CTN-000014,CODE128,Internal,INTERNAL,Low,Sweet Favourite Plantain Chips (Carton),Sweet Favourite,Snacks,Carton,24,8500.00,40,true
32,FAM-0031,PRD-000016,CODE128,Internal,INTERNAL,Low,Minimie Chinchin Snack Pack (Piece),Minimie,Snacks,Piece,1,250.00,300,false
33,FAM-0032,CTN-000015,CODE128,Internal,INTERNAL,Low,Minimie Chinchin Snack Pack (Carton),Minimie,Snacks,Carton,24,9500.00,45,true
34,FAM-0033,PRD-000017,CODE128,Internal,INTERNAL,Low,Devon King's Vegetable Oil Sachet (Piece),Devon King's,Pantry,Piece,1,1200.00,150,false
35,FAM-0034,CTN-000016,CODE128,Internal,INTERNAL,Low,Devon King's Vegetable Oil Sachet (Carton),Devon King's,Pantry,Carton,50,22500.00,25,true
36,FAM-0035,6156000034102,EAN13,Manufacturer,VERIFIED,High,Golden Penny Amaizing Day 650g (Piece),Golden Penny,Breakfast,Piece,1,2800.00,80,false
37,FAM-0036,16156000034109,ITF14,Manufacturer,VERIFIED,High,Golden Penny Amaizing Day 650g (Carton),Golden Penny,Breakfast,Carton,24,31000.00,12,true
38,FAM-0037,PRD-000019,CODE128,Internal,INTERNAL,Low,Mamador Pure Vegetable Oil 3L Gallon,Mamador,Pantry,Piece,1,14500.00,40,false
39,FAM-0038,PRD-000020,CODE128,Internal,INTERNAL,Low,Golden Penny Pure Soya Oil 3L Bottle,Golden Penny,Pantry,Piece,1,14500.00,40,false
40,FAM-0039,6154000015428,EAN13,Manufacturer,VERIFIED,High,Devon King's Pure Vegetable Oil 3L Gallon,Devon King's,Pantry,Piece,1,14500.00,40,false
41,FAM-0040,PRD-000022,CODE128,Internal,INTERNAL,Low,Yale Cabin Sweetened Biscuit (Piece),Yale,Snacks,Piece,1,500.00,180,false
42,FAM-0041,PRD-000023,CODE128,Internal,INTERNAL,Low,Ziploc Storage Bags (Piece),Ziploc,Household,Piece,1,1500.00,100,false
43,FAM-0042,PRD-000024,CODE128,Internal,INTERNAL,Low,Molped Sanitary Pads Single (Piece),Molped,Personal Care,Piece,1,850.00,200,false
44,FAM-0043,PRD-000025,CODE128,Internal,INTERNAL,Low,Dr. Brown's Baby Wipes (Piece),Dr. Brown's,Baby,Piece,1,1200.00,120,false
45,FAM-0044,PRD-000026,CODE128,Internal,INTERNAL,Low,Center fruit Candy Tub (Piece),Generic,Snacks,Piece,1,2500.00,60,false
46,FAM-0045,PRD-000027,CODE128,Internal,INTERNAL,Low,Milk Block Candy Tub (Piece),Generic,Snacks,Piece,1,2500.00,60,false
47,FAM-0046,PRD-000028,CODE128,Internal,INTERNAL,Low,Cola Roll Candy Tub (Piece),Generic,Snacks,Piece,1,2500.00,60,false
48,FAM-0047,PRD-000029,CODE128,Internal,INTERNAL,Low,Star Fashibo Cup Candy Tub (Piece),Generic,Snacks,Piece,1,2500.00,60,false
49,FAM-0048,PRD-000030,CODE128,Internal,INTERNAL,Low,Choco Milk Box (Piece),Generic,Snacks,Piece,1,1800.00,80,false
50,FAM-0049,PRD-000031,CODE128,Internal,INTERNAL,Low,Molped Super Value Pack 32s (Piece),Molped,Personal Care,Piece,1,2900.00,90,false
51,FAM-0050,PRD-000032,CODE128,Internal,INTERNAL,Low,Molfix Baby Pants Size 5 (Pack),Molfix,Baby,Piece,1,15500.00,40,false
52,FAM-0051,PRD-000033,CODE128,Internal,INTERNAL,Low,Molfix Baby Pants Size 3 62pcs (Pack),Molfix,Baby,Piece,1,15500.00,40,false
53,FAM-0052,PRD-000034,CODE128,Internal,INTERNAL,Low,Bebem Natural Essence Size 4 100pcs (Pack),Bebem,Baby,Piece,1,14800.00,35,false
54,FAM-0053,PRD-000035,CODE128,Internal,INTERNAL,Low,KissKids Baby Diapers Size 3 50pcs (Pack),KissKids,Baby,Piece,1,7700.00,60,false
55,FAM-0054,PRD-000036,CODE128,Internal,INTERNAL,Low,KissKids Baby Diapers Size 2 54pcs (Pack),KissKids,Baby,Piece,1,7700.00,60,false
56,FAM-0055,PRD-000037,CODE128,Internal,INTERNAL,Low,Peak Full Cream Milk Powder 400g Tin,Peak,Dairy,Piece,1,4800.00,100,false
57,FAM-0056,CTN-000018,CODE128,Internal,INTERNAL,Low,Peak Full Cream Milk Powder Tin (Carton),Peak,Dairy,Carton,24,56000.00,15,true
58,FAM-0057,PRD-000038,CODE128,Internal,INTERNAL,Low,NAN Optipro 1 Tin 400g (Piece),NAN,Baby,Piece,1,10300.00,50,false
59,FAM-0058,PRD-000039,CODE128,Internal,INTERNAL,Low,Bournvita 800g Jar (Piece),Bournvita,Beverages,Piece,1,6700.00,70,false
60,FAM-0059,PRD-000040,CODE128,Internal,INTERNAL,Low,Bournvita 450g Jar / Tin (Piece),Bournvita,Beverages,Piece,1,4650.00,90,false
61,FAM-0060,PRD-000041,CODE128,Internal,INTERNAL,Low,My Boy Eldorin 0-12m Tin (Piece),My Boy,Baby,Piece,1,7200.00,55,false
62,FAM-0061,PRD-000042,CODE128,Internal,INTERNAL,Low,Udu Corn Flakes 500g Bag (Piece),Udu,Breakfast,Piece,1,2200.00,80,false
63,FAM-0062,PRD-000043,CODE128,Internal,INTERNAL,Low,Nasco Cornflakes Original Box (Piece),Nasco,Breakfast,Piece,1,1800.00,110,false
64,FAM-0063,PRD-000044,CODE128,Internal,INTERNAL,Low,Parago Chewy Candy Box (Piece),Parago,Snacks,Piece,1,2200.00,75,false
65,FAM-0064,PRD-000045,CODE128,Internal,INTERNAL,Low,Harpic Power Plus 10X 750ml Bottle,Harpic,Cleaning,Piece,1,2800.00,100,false
66,FAM-0065,CTN-000019,CODE128,Internal,INTERNAL,Low,Harpic Power Plus 10X (Carton),Harpic,Cleaning,Carton,24,31000.00,15,true
67,FAM-0066,PRD-000046,CODE128,Internal,INTERNAL,Low,Clean Bleach Bottle (Piece),Clean,Cleaning,Piece,1,1500.00,120,false
68,FAM-0067,PRD-000047,CODE128,Internal,INTERNAL,Low,Sniper Flying Insect Killer Can (Piece),Sniper,Household,Piece,1,2100.00,150,false
69,FAM-0068,PRD-000048,CODE128,Internal,INTERNAL,Low,Sniper Crawling Insect Killer Can (Piece),Sniper,Household,Piece,1,2200.00,150,false
70,FAM-0069,PRD-000049,CODE128,Internal,INTERNAL,Low,Joy Soap Bar (Piece),Joy,Personal Care,Piece,1,600.00,200,false
71,FAM-0070,CTN-000020,CODE128,Internal,INTERNAL,Low,Joy Soap (Bundle),Joy,Personal Care,Carton,24,5800.00,30,true
72,FAM-0071,PRD-000050,CODE128,Internal,INTERNAL,Low,Tura Soap Bar (Piece),Tura,Personal Care,Piece,1,800.00,180,false
73,FAM-0072,PRD-000051,CODE128,Internal,INTERNAL,Low,Air Wick Air Freshener Spray (Piece),Air Wick,Household,Piece,1,2500.00,90,false
74,FAM-0073,PRD-000052,CODE128,Internal,INTERNAL,Low,Air Wick Freshmatic Complete Kit,Air Wick,Household,Piece,1,4500.00,50,false
75,FAM-0074,PRD-000053,CODE128,Internal,INTERNAL,Low,Frutilla Creme Air Freshener (Piece),Frutilla,Household,Piece,1,2400.00,80,false
76,FAM-0075,8901396353003,EAN13,Open Food Facts,VERIFIED,High,Dettol Antiseptic Liquid 500ml Bottle,Dettol,Personal Care,Piece,1,3500.00,80,false
77,FAM-0076,PRD-000054,CODE128,Internal,INTERNAL,Low,Carex Antibacterial Soap Bar (Piece),Carex,Personal Care,Piece,1,700.00,180,false
78,FAM-0077,CTN-000021,CODE128,Internal,INTERNAL,Low,Carex Antibacterial Soap (Bundle),Carex,Personal Care,Carton,24,6800.00,25,true
79,FAM-0078,PRD-000055,CODE128,Internal,INTERNAL,Low,Nova Soap Bar (Piece),Nova,Personal Care,Piece,1,500.00,200,false
80,FAM-0079,PRD-000056,CODE128,Internal,INTERNAL,Low,2Sure Soap Bar (Piece),2Sure,Personal Care,Piece,1,650.00,180,false
81,FAM-0080,PRD-000057,CODE128,Internal,INTERNAL,Low,Huggies Plus Size 7 (Pack),Huggies,Baby,Piece,1,16500.00,30,false
82,FAM-0081,CTN-000022,CODE128,Internal,INTERNAL,Low,Chivita 100% Fruit Juice 1L (Carton),Generic,Beverages,Carton,24,18500.00,25,true
83,FAM-0082,CTN-000023,CODE128,Internal,INTERNAL,Low,Chivita Ice Tea 1L (Carton),Generic,Beverages,Carton,24,16500.00,25,true
84,FAM-0083,CTN-000024,CODE128,Internal,INTERNAL,Low,Chivita Active 1L (Carton),Generic,Beverages,Carton,24,17500.00,25,true
85,FAM-0084,CTN-000025,CODE128,Internal,INTERNAL,Low,Ribena 150ml (Carton),Generic,Beverages,Carton,24,15500.00,30,true
86,FAM-0085,16154000102354,ITF14,Manufacturer,VERIFIED,High,FreshYo Drinking Yoghurt (Carton),Generic,Beverages,Carton,24,14500.00,30,true
87,FAM-0086,PRD-000058,CODE128,Internal,INTERNAL,Low,Energy Drink Can (Piece),Generic,Beverages,Piece,1,700.00,200,false
88,FAM-0087,CTN-000027,CODE128,Internal,INTERNAL,Low,Energy Drink Cans (Pack/Carton),Generic,Beverages,Carton,24,15500.00,25,true
89,FAM-0088,PRD-000059,CODE128,Internal,INTERNAL,Low,Maltina Can 330ml (Piece),Maltina,Beverages,Piece,1,800.00,200,false
90,FAM-0089,CTN-000028,CODE128,Internal,INTERNAL,Low,Maltina Cans 330ml (Carton),Maltina,Beverages,Carton,24,18000.00,30,true
91,FAM-0090,PRD-000060,CODE128,Internal,INTERNAL,Low,Nirvana Bottled Water 75cl (Piece),Nirvana,Beverages,Piece,1,250.00,300,false
92,FAM-0091,CTN-000029,CODE128,Internal,INTERNAL,Low,Nirvana Bottled Water 75cl (Pack),Nirvana,Beverages,Carton,24,2800.00,45,true
93,FAM-0092,PRD-000061,CODE128,Internal,INTERNAL,Low,Sniper Bedbug Killer Spray (Piece),Sniper,Household,Piece,1,2400.00,100,false
94,FAM-0093,PRD-000062,CODE128,Internal,INTERNAL,Low,Munch It Cheesy Stix (Piece),Munch It,Snacks,Piece,1,200.00,300,false
95,FAM-0094,CTN-000030,CODE128,Internal,INTERNAL,Low,Munch It Cheesy Stix (Carton),Munch It,Snacks,Carton,24,8500.00,40,true
96,FAM-0095,PRD-000063,CODE128,Internal,INTERNAL,Low,Munch It Sour Cream & Onion (Piece),Munch It,Snacks,Piece,1,200.00,300,false
97,FAM-0096,CTN-000031,CODE128,Internal,INTERNAL,Low,Munch It Sour Cream & Onion (Carton),Munch It,Snacks,Carton,24,8500.00,40,true
98,FAM-0097,CTN-000032,CODE128,Internal,INTERNAL,Low,Harpic Toilet Cleaner 750ml (Carton),Harpic,Cleaning,Carton,24,31000.00,20,true
99,FAM-0098,PRD-000064,CODE128,Internal,INTERNAL,Low,McVitie's Rich Tea Biscuits (Box),McVitie's,Snacks,Piece,1,1500.00,100,false
100,FAM-0099,5000168170183,EAN13,Open Food Facts,VERIFIED,High,McVitie's Hobnobs Biscuits (Box),McVitie's,Snacks,Piece,1,1800.00,100,false
101,FAM-0100,7622202039775,EAN13,Open Food Facts,VERIFIED,High,Oreo Biscuits (Box),Oreo,Snacks,Piece,1,2200.00,90,false
102,FAM-0101,PRD-000065,CODE128,Internal,INTERNAL,Low,Tiramisu Wafers (Box),Tiramisu,Snacks,Piece,1,2500.00,80,false
103,FAM-0102,PRD-000066,CODE128,Internal,INTERNAL,Low,Butter Bread Biscuits (Box),Generic,Snacks,Piece,1,1600.00,100,false
104,FAM-0103,PRD-000067,CODE128,Internal,INTERNAL,Low,Gala Sausage Roll (Piece),Gala,Snacks,Piece,1,250.00,300,false
105,FAM-0104,CTN-000033,CODE128,Internal,INTERNAL,Low,Gala Sausage Roll (Carton),Gala,Snacks,Carton,50,11500.00,35,true
106,FAM-0105,PRD-000068,CODE128,Internal,INTERNAL,Low,Custard Pie Box (Piece),Custard Pie,Snacks,Piece,1,1800.00,90,false
107,FAM-0106,PRD-000069,CODE128,Internal,INTERNAL,Low,Morning Fresh Dishwashing Liquid 1L,Morning Fresh,Cleaning,Piece,1,2400.00,120,false
108,FAM-0107,CTN-000034,CODE128,Internal,INTERNAL,Low,Morning Fresh Dishwashing Liquid (Carton),Morning Fresh,Cleaning,Carton,24,26500.00,20,true
109,FAM-0108,CTN-000035,CODE128,Internal,INTERNAL,Low,Nasco Cornflakes (Carton),Nasco,Breakfast,Carton,24,21000.00,20,true
110,FAM-0109,CTN-000036,CODE128,Internal,INTERNAL,Low,Canoe Soap (Carton),Canoe,Cleaning,Carton,24,16500.00,25,true
111,FAM-0110,CTN-000037,CODE128,Internal,INTERNAL,Low,Premier Soap (Carton),Premier,Personal Care,Carton,24,18500.00,25,true
112,FAM-0111,PRD-000070,CODE128,Internal,INTERNAL,Low,Tissue Paper 10 Rolls (Pack),Tissue,Household,Piece,1,2500.00,100,false
113,FAM-0112,CTN-000038,CODE128,Internal,INTERNAL,Low,Indomie Standard Chicken 70g (Carton),Indomie,Pantry,Carton,24,11500.00,50,true
114,FAM-0113,CTN-000039,CODE128,Internal,INTERNAL,Low,Minimie Noodles (Carton),Minimie,Pantry,Carton,40,10500.00,45,true
115,FAM-0114,CTN-000040,CODE128,Internal,INTERNAL,Low,Chikki Chicken Noodles 70g (Carton),Chikki,Pantry,Carton,40,10800.00,40,true
116,FAM-0115,CTN-000041,CODE128,Internal,INTERNAL,Low,Chikki Chicken Noodles 100g (Carton),Chikki,Pantry,Carton,40,14500.00,35,true
117,FAM-0116,CTN-000042,CODE128,Internal,INTERNAL,Low,Golden Penny Jollof Noodles (Carton),Golden Penny,Pantry,Carton,40,12500.00,40,true
118,FAM-0117,16156000032204,ITF14,Manufacturer,VERIFIED,High,Golden Penny Spaghetti 500g (Carton),Golden Penny,Pantry,Carton,24,17300.00,50,true
119,FAM-0118,CTN-000044,CODE128,Internal,INTERNAL,Low,Hypo Multipurpose Bleach 500ml (Carton),Hypo,Cleaning,Carton,24,13500.00,35,true
120,FAM-0119,CTN-000045,CODE128,Internal,INTERNAL,Low,Loya Milk 400g Tin (Carton),Loya,Dairy,Carton,24,54000.00,15,true
121,FAM-0120,3159470000120,EAN13,Open Food Facts,VERIFIED,High,Kellogg's Cornflakes 500g (Box),Kellogg's,Breakfast,Piece,1,2800.00,90,false
122,FAM-0121,PRD-000071,CODE128,Internal,INTERNAL,Low,Bama Mayonnaise 946ml Jar (Piece),Bama,Pantry,Piece,1,4300.00,80,false
123,FAM-0122,CTN-000046,CODE128,Internal,INTERNAL,Low,Bama Mayonnaise 946ml (Carton),Bama,Pantry,Carton,24,51000.00,15,true
124,FAM-0123,PRD-000072,CODE128,Internal,INTERNAL,Low,Geisha Mackerel in Tomato Sauce Can,Geisha,Pantry,Piece,1,1100.00,180,false
125,FAM-0124,CTN-000047,CODE128,Internal,INTERNAL,Low,Geisha Mackerel Can (Carton),Geisha,Pantry,Carton,24,52000.00,20,true
126,FAM-0125,PRD-000073,CODE128,Internal,INTERNAL,Low,Kivo Garri Mix Sachet (Piece),Kivo,Pantry,Piece,1,350.00,250,false
127,FAM-0126,8720608009305,EAN13,Open Food Facts,VERIFIED,High,Lipton Yellow Label Tea 100 Bags (Box),Lipton,Beverages,Piece,1,2200.00,110,false
128,FAM-0127,8716200727716,EAN13,Open Food Facts,VERIFIED,High,Peak Milk 400g Tin,Peak,Dairy,Piece,1,4800.00,100,false
129,FAM-0128,6001068480401,EAN13,EAN-Search,VERIFIED,High,Milo 500g Refill Tin / Bag,Milo,Beverages,Piece,1,3500.00,100,false
130,FAM-0129,PRD-000074,CODE128,Internal,INTERNAL,Low,Knorr Seasoning Cubes (Pack),Knorr,Pantry,Piece,1,1200.00,150,false
131,FAM-0130,6164004676235,EAN13,Open Food Facts,VERIFIED,High,Blue Band Margarine 250g,Blue Band,Pantry,Piece,1,1500.00,120,false
132,FAM-0131,PRD-000075,CODE128,Internal,INTERNAL,Low,Dangote Sugar 500g,Dangote,Pantry,Piece,1,1300.00,140,false
133,FAM-0132,PRD-000076,CODE128,Internal,INTERNAL,Low,Coca-Cola 50cl PET Bottle,Coca-Cola,Beverages,Piece,1,400.00,240,false
134,FAM-0133,PRD-000077,CODE128,Internal,INTERNAL,Low,Fanta Orange 50cl PET Bottle,Fanta,Beverages,Piece,1,400.00,240,false
135,FAM-0134,PRD-000078,CODE128,Internal,INTERNAL,Low,Sprite 50cl PET Bottle,Sprite,Beverages,Piece,1,400.00,240,false
136,FAM-0135,PRD-000079,CODE128,Internal,INTERNAL,Low,Monster Energy Drink 500ml Can,Monster,Beverages,Piece,1,1500.00,100,false
137,FAM-0136,PRD-000080,CODE128,Internal,INTERNAL,Low,Lux Soap Bar,Lux,Personal Care,Piece,1,800.00,180,false
138,FAM-0137,PRD-000081,CODE128,Internal,INTERNAL,Low,Dove Beauty Cream Bar,Dove,Personal Care,Piece,1,1500.00,150,false
139,FAM-0138,PRD-000082,CODE128,Internal,INTERNAL,Low,Close-Up Red Hot Toothpaste 140g,Close-Up,Personal Care,Piece,1,1400.00,140,false
140,FAM-0139,PRD-000083,CODE128,Internal,INTERNAL,Low,Omo Multi-Active Detergent 1kg,Omo,Cleaning,Piece,1,2800.00,110,false
141,FAM-0140,PRD-000084,CODE128,Internal,INTERNAL,Low,Sunlight Dishwashing Liquid 400ml,Sunlight,Cleaning,Piece,1,1200.00,130,false
142,FAM-0141,PRD-000085,CODE128,Internal,INTERNAL,Low,Maggi Star Cubes (Pack),Maggi,Pantry,Piece,1,1100.00,160,false
143,FAM-0142,PRD-000086,CODE128,Internal,INTERNAL,Low,Good Mama Detergent 1kg,Good Mama,Cleaning,Piece,1,2300.00,120,false
144,FAM-0143,PRD-000087,CODE128,Internal,INTERNAL,Low,Viva Detergent 900g,Viva,Cleaning,Piece,1,2400.00,120,false
145,FAM-0144,PRD-000088,CODE128,Internal,INTERNAL,Low,Eva Premium Water 75cl,Eva,Beverages,Piece,1,250.00,300,false
146,FAM-0145,PRD-000089,CODE128,Internal,INTERNAL,Low,Malta Guinness Can,Malta Guinness,Beverages,Piece,1,850.00,180,false
147,FAM-0146,PRD-000090,CODE128,Internal,INTERNAL,Low,Bournvita 20g Sachets (Roll),Bournvita,Beverages,Piece,1,1750.00,100,false
148,FAM-0146,CTN-000048,CODE128,Internal,INTERNAL,Low,Bournvita 20g Sachets (Carton),Bournvita,Beverages,Carton,50,34000.00,20,true
149,FAM-0147,PRD-000091,CODE128,Internal,INTERNAL,Low,Bournvita 500g Refill Pack,Bournvita,Beverages,Piece,1,3700.00,80,false
150,FAM-0148,CTN-000049,CODE128,Internal,INTERNAL,Low,Bournvita 500g Refill (Carton),Bournvita,Beverages,Carton,24,44000.00,15,true
151,FAM-0149,PRD-000092,CODE128,Internal,INTERNAL,Low,Bournvita 450g Tin,Bournvita,Beverages,Piece,1,4650.00,70,false
152,FAM-0150,PRD-000093,CODE128,Internal,INTERNAL,Low,Cadbury 3in1 Hot Chocolate 20g (Roll),Generic,Beverages,Piece,1,3250.00,90,false
153,FAM-0151,CTN-000050,CODE128,Internal,INTERNAL,Low,Cadbury 3in1 Hot Chocolate (Carton),Generic,Beverages,Carton,24,39000.00,15,true
154,FAM-0152,PRD-000094,CODE128,Internal,INTERNAL,Low,Cadbury 400g Tin,Generic,Beverages,Piece,1,4100.00,60,false
155,FAM-0153,CTN-000051,CODE128,Internal,INTERNAL,Low,Cadbury 400g Tin (Carton),Generic,Beverages,Carton,24,34000.00,12,true
156,FAM-0154,PRD-000095,CODE128,Internal,INTERNAL,Low,Milo 20g Sachets (Roll),Milo,Beverages,Piece,1,1800.00,120,false
157,FAM-0154,CTN-000052,CODE128,Internal,INTERNAL,Low,Milo 20g Sachets (Carton),Milo,Beverages,Carton,50,36000.00,20,true
158,FAM-0155,PRD-000096,CODE128,Internal,INTERNAL,Low,Milo 350g Refill Pack,Milo,Beverages,Piece,1,3500.00,100,false
159,FAM-0156,PRD-000097,CODE128,Internal,INTERNAL,Low,Milo 800g Refill Pack,Milo,Beverages,Piece,1,6700.00,70,false
160,FAM-0157,PRD-000098,CODE128,Internal,INTERNAL,Low,Milo 800g Tin,Milo,Beverages,Piece,1,7500.00,50,false
161,FAM-0158,PRD-000099,CODE128,Internal,INTERNAL,Low,Milo 3in1 Sachets (Roll),Milo,Beverages,Piece,1,2600.00,100,false
162,FAM-0159,PRD-000100,CODE128,Internal,INTERNAL,Low,Milo Crunchy Sachets (Roll),Milo,Beverages,Piece,1,2600.00,100,false
163,FAM-0160,PRD-000101,CODE128,Internal,INTERNAL,Low,Ovaltine 18g Sachets (Roll),Generic,Beverages,Piece,1,1900.00,100,false
164,FAM-0161,PRD-000102,CODE128,Internal,INTERNAL,Low,Ovaltine 350g Refill Pack,Generic,Beverages,Piece,1,3500.00,90,false
165,FAM-0162,PRD-000103,CODE128,Internal,INTERNAL,Low,Ovaltine 350g Tin,Generic,Beverages,Piece,1,3800.00,80,false
166,FAM-0163,PRD-000104,CODE128,Internal,INTERNAL,Low,Ovaltine 750g Refill Pack,Generic,Beverages,Piece,1,6900.00,60,false
167,FAM-0164,PRD-000105,CODE128,Internal,INTERNAL,Low,Ovaltine 750g Tin,Generic,Beverages,Piece,1,7200.00,50,false
168,FAM-0165,PRD-000106,CODE128,Internal,INTERNAL,Low,Kremela Milk Sachets (Roll),Generic,Dairy,Piece,1,900.00,150,false
169,FAM-0166,PRD-000107,CODE128,Internal,INTERNAL,Low,Kremela 350g Refill Pack,Generic,Dairy,Piece,1,1550.00,100,false
170,FAM-0167,PRD-000108,CODE128,Internal,INTERNAL,Low,Twisco Choco Sachets 25g (Roll),Generic,Beverages,Piece,1,1750.00,110,false
171,FAM-0168,PRD-000109,CODE128,Internal,INTERNAL,Low,Twisco 350g Refill Pack,Generic,Beverages,Piece,1,3500.00,80,false
172,FAM-0169,PRD-000110,CODE128,Internal,INTERNAL,Low,Cowbell Choco Sachets 22g (Roll),Cowbell,Beverages,Piece,1,1500.00,130,false
173,FAM-0170,PRD-000111,CODE128,Internal,INTERNAL,Low,Cowbell Choco 400g Refill,Cowbell,Beverages,Piece,1,2900.00,90,false
174,FAM-0171,PRD-000112,CODE128,Internal,INTERNAL,Low,Cowbell Strawberry Sachets 15g (Roll),Cowbell,Beverages,Piece,1,1000.00,140,false
175,FAM-0172,PRD-000113,CODE128,Internal,INTERNAL,Low,Peak Milk Tetra Pak 140ml (Roll/Pack),Peak,Dairy,Piece,1,1700.00,120,false
176,FAM-0173,PRD-000114,CODE128,Internal,INTERNAL,Low,Three Crowns Tetra Pak 140ml (Roll/Pack),Three Crowns,Dairy,Piece,1,1700.00,120,false
177,FAM-0174,18716200607541,ITF14,Manufacturer,VERIFIED,High,Three Crowns Tetra Pak (Carton),Three Crowns,Dairy,Carton,24,16000.00,25,true
178,FAM-0175,PRD-000115,CODE128,Internal,INTERNAL,Low,Peak Full Cream Sachets (Roll),Peak,Dairy,Piece,1,1400.00,140,false
